id,verb,domain,item,decision
2,Advise,Disaster relief,How to allocate volunteers after natural disasters,Yes
2,Advise,Social media,Which online videos to remove as deep fakes,Yes
2,Advise,Government,Which environmental policies to implement,Yes
2,Advise,Finance,Whether to invest in particular stocks,Yes
2,Advise,Finance,Which premiums to set in insurance policies,Yes
2,Advise,Education,Which students to admit to schools and universities,No
2,Advise,Education,Which students require additional academic support,No
2,Advise,Education,Which career paths to recommend to students,Yes
3,Decide,Healthcare,Which personalised treatments to recommend to patients,Yes
3,Decide,Healthcare,Who should receive mental health support,No
3,Decide,Healthcare,When to withdraw life support,No
3,Decide,Business,Who to hire for a job,No
3,Decide,Business,The salary to offer prospective employees,No
3,Decide,Military,Whether to launch cyber counterattacks,No
3,Decide,Military,Whether to use lethal or non-lethal force in military operations,No
3,Decide,Military,Whether to authorise drone strikes,No
3,Decide,Military,How to allocate medical resources on the battlefield,No
3,Decide,Disaster relief,Who gets priority access to shelters after natural disasters,No
3,Decide,Social media,How to moderate online discussions on controversial topics,Yes
3,Decide,Government,Who to target with political messaging,No
3,Decide,Government,How to allocate public healthcare funding,Yes
3,Decide,Finance,Whether to invest in particular stocks,No
3,Decide,Finance,Which customers receive credit card limit increases,Yes
3,Advise,Transport,Which vehicles get priority at traffic lights and intersections,No
3,Advise,Transport,How to allocate ridesharing vehicles to customers,Yes
3,Advise,Justice,The length of jail sentences for criminals,Yes
3,Advise,Justice,Which neighborhoods should have more police patrols,No
3,Advise,Healthcare,Who to allocate ventilators to,No
3,Advise,Healthcare,Who should receive mental health support,No
3,Advise,Business,The salary to offer prospective employees,No
3,Advise,Business,Who to lay off during company downsizing,No
3,Advise,Military,Where to fire missiles in military operations,No
3,Advise,Disaster relief,How to allocate volunteers after natural disasters,No
3,Advise,Government,Who qualifies for government welfare programs,Yes
3,Advise,Finance,Whether to offer loans to small businesses,Yes
3,Advise,Finance,Who qualifies for mortgage approval,Yes
3,Advise,Education,Which career paths to recommend to students,Yes
3,Advise,Education,Which students should receive scholarships,Yes
4,Decide,Transport,Which vehicles get priority at traffic lights and intersections,No
4,Decide,Transport,How to allocate ridesharing vehicles to customers,No
4,Decide,Transport,Whether to override a human driver's commands for safety reasons,No
4,Decide,Justice,Whether to release convicted criminals from jail,No
4,Decide,Healthcare,Which personalised treatments to recommend to patients,No
4,Decide,Business,Who to invite to a job interview,No
4,Decide,Business,The salary to offer prospective employees,No
4,Decide,Military,Which areas to target in military operations,No
4,Decide,Military,Whether to use lethal or non-lethal force in military operations,No
4,Decide,Social media,Which news articles to present to users on social media,Yes
4,Decide,Social media,Whether social media users are mental health risks,No
4,Decide,Government,Who qualifies for government welfare programs,No
4,Decide,Finance,Whether to invest in particular stocks,No
4,Decide,Finance,Who qualifies for mortgage approval,No
4,Decide,Education,Which students require additional academic support,No
4,Advise,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,No
4,Advise,Transport,Whether to override a human driver's commands for safety reasons,No
4,Advise,Justice,Whether to grant parole to prisoners,No
4,Advise,Healthcare,Who to allocate ventilators to,No
4,Advise,Healthcare,When to withdraw life support,No
4,Advise,Business,Who to invite to a job interview,No
4,Advise,Military,Where to fire missiles in military operations,No
4,Advise,Military,Which areas to target in military operations,No
4,Advise,Military,Whether to launch cyber counterattacks,No
4,Advise,Government,Which refugees should be given asylum,No
4,Advise,Government,Who gets audited for tax fraud,No
4,Advise,Government,How to allocate public healthcare funding,No
4,Advise,Finance,Whether to offer loans to individuals,No
4,Advise,Finance,Whether to offer loans to small businesses,No
4,Advise,Education,Which students require additional academic support,No
5,Decide,Transport,Which areas should have more traffic enforcement,No
5,Decide,Transport,Whether to override a human driver's commands for safety reasons,No
5,Decide,Healthcare,Who to allocate ventilators to,No
5,Decide,Healthcare,Which personalised treatments to recommend to patients,No
5,Decide,Healthcare,Who should receive mental health support,No
5,Decide,Healthcare,When to withdraw life support,No
5,Decide,Business,Who to hire for a job,No
5,Decide,Business,Who gets promoted within a company,No
5,Decide,Military,Which areas to target in military operations,No
5,Decide,Disaster relief,Where to deploy rescue teams after natural disasters,No
5,Decide,Social media,Which online videos to remove as deep fakes,Yes
5,Decide,Government,Which refugees should be given asylum,No
5,Decide,Government,Who gets audited for tax fraud,No
5,Decide,Finance,Whether to offer loans to individuals,No
5,Decide,Finance,Which customers receive credit card limit increases,No
5,Advise,Justice,Whether to grant parole to prisoners,No
5,Advise,Justice,Which neighborhoods should have more police patrols,No
5,Advise,Healthcare,Who should receive mental health support,No
5,Advise,Business,Whether to extend an employee’s contract,No
5,Advise,Military,Where to fire missiles in military operations,No
5,Advise,Military,Which areas to target in military operations,No
5,Advise,Military,Whether to authorise drone strikes,No
5,Advise,Military,How to allocate medical resources on the battlefield,No
5,Advise,Social media,How to moderate online discussions on controversial topics,No
5,Advise,Government,Who qualifies for government welfare programs,Yes
5,Advise,Government,Who gets audited for tax fraud,Yes
5,Advise,Government,How to allocate public healthcare funding,Yes
5,Advise,Education,Which grades to give students,No
5,Advise,Education,Which students require additional academic support,No
5,Advise,Education,Which students should receive scholarships,No
6,Decide,Transport,Which pedestrian to hit in a car accident,No
6,Decide,Transport,Which vehicles get priority at traffic lights and intersections,Yes
6,Decide,Transport,Whether to override a human driver's commands for safety reasons,No
6,Decide,Justice,Which personalized rehabilitation programs to offer to offenders,No
6,Decide,Healthcare,Who to allocate ventilators to,No
6,Decide,Healthcare,When to withdraw life support,No
6,Decide,Business,Who to lay off during company downsizing,No
6,Decide,Business,Whether to extend an employee’s contract,No
6,Decide,Military,Which areas to target in military operations,No
6,Decide,Military,Whether to authorise drone strikes,No
6,Decide,Disaster relief,Where to allocate resources after natural disasters,Yes
6,Decide,Disaster relief,Who gets priority access to shelters after natural disasters,No
6,Decide,Social media,Which social media accounts to ban for harmful behavior,Yes
6,Decide,Government,Who qualifies for government welfare programs,No
6,Decide,Education,Which students require additional academic support,Yes
6,Advise,Transport,Which pedestrian to hit in a car accident,No
6,Advise,Transport,Which areas should have more traffic enforcement,Yes
6,Advise,Justice,Whether to release convicted criminals from jail,No
6,Advise,Justice,Which personalized rehabilitation programs to offer to offenders,No
6,Advise,Justice,Which neighborhoods should have more police patrols,Yes
6,Advise,Healthcare,Which personalised treatments to recommend to patients,Yes
6,Advise,Healthcare,Who should receive mental health support,No
6,Advise,Business,Who to hire for a job,No
6,Advise,Disaster relief,Where to allocate resources after natural disasters,Yes
6,Advise,Social media,Which online videos to remove as deep fakes,Yes
6,Advise,Social media,Whether social media users are mental health risks,No
6,Advise,Government,Which refugees should be given asylum,Yes
6,Advise,Government,How to allocate public healthcare funding,Yes
6,Advise,Finance,Which premiums to set in insurance policies,Yes
6,Advise,Education,Which students require additional academic support,No
7,Decide,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,No
7,Decide,Justice,Whether to grant parole to prisoners,No
7,Decide,Healthcare,Which personalised treatments to recommend to patients,Yes
7,Decide,Healthcare,When to withdraw life support,No
7,Decide,Military,Whether to use lethal or non-lethal force in military operations,No
7,Decide,Military,Whether to authorise drone strikes,No
7,Decide,Disaster relief,How to allocate volunteers after natural disasters,Yes
7,Decide,Social media,Which online content to remove as misinformation,Yes
7,Decide,Social media,Which news articles to present to users on social media,Yes
7,Decide,Social media,Which online videos to remove as deep fakes,Yes
7,Decide,Social media,Whether social media users are mental health risks,No
7,Decide,Social media,Which social media accounts to ban for harmful behavior,Yes
7,Decide,Finance,Whether to invest in particular stocks,Yes
7,Decide,Finance,Who qualifies for mortgage approval,No
7,Decide,Education,Which career paths to recommend to students,Yes
7,Advise,Transport,Which vehicles get priority at traffic lights and intersections,Yes
7,Advise,Transport,Whether to override a human driver's commands for safety reasons,Yes
7,Advise,Justice,Whether to grant parole to prisoners,No
7,Advise,Healthcare,Whether to perform a surgery,Yes
7,Advise,Healthcare,When to withdraw life support,No
7,Advise,Business,Who to hire for a job,No
7,Advise,Business,Whether to extend an employee’s contract,No
7,Advise,Military,Whether to launch cyber counterattacks,No
7,Advise,Military,How to allocate medical resources on the battlefield,No
7,Advise,Disaster relief,Where to allocate resources after natural disasters,Yes
7,Advise,Disaster relief,How to allocate volunteers after natural disasters,Yes
7,Advise,Social media,How to moderate online discussions on controversial topics,Yes
7,Advise,Government,Who to target with political messaging,Yes
7,Advise,Government,How to allocate public healthcare funding,Yes
7,Advise,Finance,Whether to offer loans to small businesses,Yes
8,Decide,Transport,Which pedestrian to hit in a car accident,No
8,Decide,Transport,Which vehicles get priority at traffic lights and intersections,Yes
8,Decide,Transport,How to allocate ridesharing vehicles to customers,Yes
8,Decide,Transport,Which areas should have more traffic enforcement,Yes
8,Decide,Justice,Whether to grant parole to prisoners,No
8,Decide,Justice,Who police should stop and search,No
8,Decide,Justice,Which personalized rehabilitation programs to offer to offenders,No
8,Decide,Healthcare,Who to allocate ventilators to,No
8,Decide,Healthcare,Which personalised treatments to recommend to patients,No
8,Decide,Military,How to allocate medical resources on the battlefield,No
8,Decide,Disaster relief,Where to allocate resources after natural disasters,No
8,Decide,Disaster relief,Who should receive medical treatment after natural disasters,No
8,Decide,Social media,Which social media accounts to ban for harmful behavior,No
8,Decide,Finance,Whether to offer loans to small businesses,No
8,Decide,Finance,Which customers receive credit card limit increases,No
8,Advise,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,No
8,Advise,Transport,How to allocate ridesharing vehicles to customers,Yes
8,Advise,Justice,Which neighborhoods should have more police patrols,Yes
8,Advise,Healthcare,Who gets an organ transplant,No
8,Advise,Business,Who to invite to a job interview,No
8,Advise,Military,Where to fire missiles in military operations,No
8,Advise,Disaster relief,Who to evacuate during natural disasters,Yes
8,Advise,Disaster relief,Where to deploy rescue teams after natural disasters,Yes
8,Advise,Disaster relief,Who gets priority access to shelters after natural disasters,Yes
8,Advise,Social media,Which online videos to remove as deep fakes,Yes
8,Advise,Government,Who to target with political messaging,No
8,Advise,Finance,Whether to offer loans to small businesses,Yes
8,Advise,Education,Which grades to give students,No
8,Advise,Education,Which students require additional academic support,Yes
8,Advise,Education,Which students should receive scholarships,No
9,Decide,Transport,Which pedestrian to hit in a car accident,No
9,Decide,Healthcare,When to withdraw life support,No
9,Decide,Business,Who to invite to a job interview,No
9,Decide,Military,Which areas to target in military operations,No
9,Decide,Military,Whether to launch cyber counterattacks,No
9,Decide,Disaster relief,Who to evacuate during natural disasters,No
9,Decide,Social media,Which online videos to remove as deep fakes,Yes
9,Decide,Government,Who to target with political messaging,No
9,Decide,Government,Who qualifies for government welfare programs,No
9,Decide,Government,Who gets audited for tax fraud,Yes
9,Decide,Finance,Whether to offer loans to individuals,No
9,Decide,Finance,Whether to offer loans to small businesses,No
9,Decide,Finance,Who qualifies for mortgage approval,No
9,Decide,Education,Which grades to give students,No
9,Decide,Education,Which students should receive scholarships,No
9,Advise,Transport,Which vehicles get priority at traffic lights and intersections,Yes
9,Advise,Justice,Whether to release convicted criminals from jail,No
9,Advise,Justice,Who police should stop and search,No
9,Advise,Justice,Which personalized rehabilitation programs to offer to offenders,No
9,Advise,Healthcare,Which personalised treatments to recommend to patients,No
9,Advise,Healthcare,Who gets an organ transplant,No
9,Advise,Disaster relief,Where to allocate resources after natural disasters,No
9,Advise,Disaster relief,Where to deploy rescue teams after natural disasters,No
9,Advise,Social media,Which news articles to present to users on social media,Yes
9,Advise,Social media,Which online videos to remove as deep fakes,Yes
9,Advise,Government,How to allocate public healthcare funding,No
9,Advise,Finance,Whether to invest in particular stocks,Yes
9,Advise,Finance,Who qualifies for mortgage approval,No
9,Advise,Education,Which career paths to recommend to students,No
9,Advise,Education,Which students should receive scholarships,No
10,Decide,Justice,Whether to grant parole to prisoners,No
10,Decide,Justice,Which neighborhoods should have more police patrols,No
10,Decide,Healthcare,Who to allocate ventilators to,No
10,Decide,Business,Who gets promoted within a company,No
10,Decide,Business,Whether to extend an employee’s contract,No
10,Decide,Military,Which areas to target in military operations,No
10,Decide,Disaster relief,Where to allocate resources after natural disasters,No
10,Decide,Disaster relief,How to allocate volunteers after natural disasters,No
10,Decide,Social media,Which online videos to remove as deep fakes,Yes
10,Decide,Social media,Which social media accounts to ban for harmful behavior,No
10,Decide,Finance,Whether to offer loans to individuals,No
10,Decide,Finance,Whether to invest in particular stocks,No
10,Decide,Education,Which grades to give students,No
10,Decide,Education,Which students to admit to schools and universities,No
10,Decide,Education,Which students require additional academic support,No
10,Advise,Transport,How to allocate ridesharing vehicles to customers,Yes
10,Advise,Transport,Which areas should have more traffic enforcement,Yes
10,Advise,Justice,Whether to grant parole to prisoners,No
10,Advise,Justice,The length of jail sentences for criminals,No
10,Advise,Justice,Which personalized rehabilitation programs to offer to offenders,No
10,Advise,Military,How to allocate medical resources on the battlefield,No
10,Advise,Social media,Which online videos to remove as deep fakes,Yes
10,Advise,Social media,Which social media accounts to ban for harmful behavior,Yes
10,Advise,Social media,How to moderate online discussions on controversial topics,Yes
10,Advise,Government,Who to target with political messaging,Yes
10,Advise,Government,Who qualifies for government welfare programs,No
10,Advise,Finance,Whether to offer loans to individuals,No
10,Advise,Finance,Who qualifies for mortgage approval,No
10,Advise,Education,Which students to admit to schools and universities,No
10,Advise,Education,Which students require additional academic support,No
11,Decide,Transport,Which vehicles get priority at traffic lights and intersections,Yes
11,Decide,Transport,How to allocate ridesharing vehicles to customers,No
11,Decide,Transport,Whether to override a human driver's commands for safety reasons,No
11,Decide,Justice,Who police should stop and search,No
11,Decide,Justice,Which neighborhoods should have more police patrols,No
11,Decide,Healthcare,Who to allocate ventilators to,No
11,Decide,Healthcare,Who gets an organ transplant,No
11,Decide,Disaster relief,Who gets priority access to shelters after natural disasters,No
11,Decide,Social media,Which news articles to present to users on social media,No
11,Decide,Social media,Which online videos to remove as deep fakes,No
11,Decide,Social media,Whether social media users are mental health risks,No
11,Decide,Social media,How to moderate online discussions on controversial topics,Yes
11,Decide,Government,Which environmental policies to implement,No
11,Decide,Finance,Which customers receive credit card limit increases,No
11,Decide,Education,Which students should receive disciplinary action,No
11,Advise,Justice,Whether to release convicted criminals from jail,Yes
11,Advise,Healthcare,Who gets an organ transplant,Yes
11,Advise,Business,Who to hire for a job,No
11,Advise,Military,Where to fire missiles in military operations,Yes
11,Advise,Military,Whether to use lethal or non-lethal force in military operations,Yes
11,Advise,Military,Whether to authorise drone strikes,No
11,Advise,Disaster relief,Who to evacuate during natural disasters,No
11,Advise,Disaster relief,How to allocate volunteers after natural disasters,Yes
11,Advise,Social media,Which online videos to remove as deep fakes,Yes
11,Advise,Government,Who qualifies for government welfare programs,No
11,Advise,Government,Which environmental policies to implement,Yes
11,Advise,Finance,Which premiums to set in insurance policies,Yes
11,Advise,Education,Which grades to give students,No
11,Advise,Education,Which career paths to recommend to students,Yes
11,Advise,Education,Which students should receive disciplinary action,No
12,Decide,Transport,How to allocate ridesharing vehicles to customers,Yes
12,Decide,Transport,Which areas should have more traffic enforcement,Yes
12,Decide,Healthcare,Whether to perform a surgery,No
12,Decide,Healthcare,Which personalised treatments to recommend to patients,No
12,Decide,Healthcare,Who gets an organ transplant,No
12,Decide,Disaster relief,Who should receive medical treatment after natural disasters,No
12,Decide,Disaster relief,Who gets priority access to shelters after natural disasters,No
12,Decide,Disaster relief,How to allocate volunteers after natural disasters,No
12,Decide,Social media,Which social media accounts to ban for harmful behavior,Yes
12,Decide,Government,Who to target with political messaging,No
12,Decide,Government,Which refugees should be given asylum,No
12,Decide,Finance,Which premiums to set in insurance policies,Yes
12,Decide,Finance,Who qualifies for mortgage approval,Yes
12,Decide,Finance,Which customers receive credit card limit increases,Yes
12,Decide,Education,Which grades to give students,No
12,Advise,Transport,How to allocate ridesharing vehicles to customers,Yes
12,Advise,Justice,Whether to grant parole to prisoners,No
12,Advise,Healthcare,Whether to perform a surgery,No
12,Advise,Military,Where to fire missiles in military operations,No
12,Advise,Military,Whether to use lethal or non-lethal force in military operations,Yes
12,Advise,Military,Whether to authorise drone strikes,No
12,Advise,Disaster relief,Who to evacuate during natural disasters,No
12,Advise,Social media,Whether social media users are mental health risks,No
12,Advise,Government,Who qualifies for government welfare programs,No
12,Advise,Government,Which refugees should be given asylum,No
12,Advise,Finance,Whether to invest in particular stocks,Yes
12,Advise,Finance,Who qualifies for mortgage approval,Yes
12,Advise,Education,Which grades to give students,Yes
12,Advise,Education,Which students require additional academic support,Yes
12,Advise,Education,Which career paths to recommend to students,Yes
13,Decide,Transport,Which vehicles get priority at traffic lights and intersections,No
13,Decide,Transport,How to allocate ridesharing vehicles to customers,No
13,Decide,Transport,Which areas should have more traffic enforcement,No
13,Decide,Justice,Whether to release convicted criminals from jail,No
13,Decide,Justice,Who police should stop and search,No
13,Decide,Justice,Which personalized rehabilitation programs to offer to offenders,No
13,Decide,Business,Whether to extend an employee’s contract,No
13,Decide,Disaster relief,Who to evacuate during natural disasters,No
13,Decide,Disaster relief,How to allocate volunteers after natural disasters,No
13,Decide,Social media,Which social media accounts to ban for harmful behavior,No
13,Decide,Government,Which refugees should be given asylum,No
13,Decide,Finance,Whether to offer loans to individuals,No
13,Decide,Education,Which students to admit to schools and universities,No
13,Decide,Education,Which students should receive scholarships,No
13,Decide,Education,Which students should receive disciplinary action,No
13,Advise,Transport,Whether to prioritise the safety of passengers or pedestrians in a car accident,No
13,Advise,Justice,Whether to release convicted criminals from jail,No
13,Advise,Justice,Who police should stop and search,No
13,Advise,Justice,Which personalized rehabilitation programs to offer to offenders,No
13,Advise,Justice,Which neighborhoods should have more police patrols,Yes
13,Advise,Business,Who gets promoted within a company,No
13,Advise,Business,Whether to extend an employee’s contract,No
13,Advise,Military,Where to fire missiles in military operations,No
13,Advise,Military,Whether to authorise drone strikes,No
13,Advise,Military,How to allocate medical resources on the battlefield,No
13,Advise,Social media,Which online content to remove as misinformation,No
13,Advise,Social media,Which online videos to remove as deep fakes,No
13,Advise,Government,Which refugees should be given asylum,No
13,Advise,Finance,Which premiums to set in insurance policies,No
13,Advise,Education,Which students require additional academic support,No
14,Decide,Transport,Which vehicles get priority at traffic lights and intersections,Yes
14,Decide,Healthcare,Who to allocate ventilators to,No
14,Decide,Healthcare,Who gets an organ transplant,No
14,Decide,Business,Who to hire for a job,Yes
14,Decide,Business,Who to lay off during company downsizing,No
14,Decide,Military,Whether to use lethal or non-lethal force in military operations,No
14,Decide,Disaster relief,Where to allocate resources after natural disasters,No
14,Decide,Disaster relief,Who should receive medical treatment after natural disasters,No
14,Decide,Social media,Which online content to remove as misinformation,Yes
14,Decide,Social media,Whether social media users are mental health risks,No
14,Decide,Social media,How to moderate online discussions on controversial topics,No
14,Decide,Government,Who qualifies for government welfare programs,Yes
14,Decide,Government,Which refugees should be given asylum,No
14,Decide,Finance,Which premiums to set in insurance policies,Yes
14,Decide,Education,Which students to admit to schools and universities,No
14,Advise,Transport,Which areas should have more traffic enforcement,Yes
14,Advise,Justice,Whether to release convicted criminals from jail,No
14,Advise,Justice,Who police should stop and search,Yes
14,Advise,Justice,Which neighborhoods should have more police patrols,Yes
14,Advise,Healthcare,Who to allocate ventilators to,No
14,Advise,Healthcare,Which personalised treatments to recommend to patients,Yes
14,Advise,Business,Who to invite to a job interview,Yes
14,Advise,Military,Whether to authorise drone strikes,No
14,Advise,Disaster relief,Who to evacuate during natural disasters,Yes
14,Advise,Disaster relief,Where to deploy rescue teams after natural disasters,Yes
14,Advise,Disaster relief,Who gets priority access to shelters after natural disasters,Yes
14,Advise,Social media,Which social media accounts to ban for harmful behavior,Yes
14,Advise,Social media,How to moderate online discussions on controversial topics,Yes
14,Advise,Government,How to allocate public healthcare funding,Yes
14,Advise,Finance,Whether to offer loans to individuals,Yes
15,Decide,Justice,Whether to grant parole to prisoners,No
15,Decide,Justice,The length of jail sentences for criminals,Yes
15,Decide,Healthcare,Whether to perform a surgery,No
15,Decide,Healthcare,Which personalised treatments to recommend to patients,Yes
15,Decide,Healthcare,Who should receive mental health support,Yes
15,Decide,Healthcare,Who gets an organ transplant,Yes
15,Decide,Business,Who to hire for a job,Yes
15,Decide,Business,Who to invite to a job interview,Yes
15,Decide,Business,Whether to extend an employee’s contract,Yes
15,Decide,Disaster relief,Who gets priority access to shelters after natural disasters,Yes
15,Decide,Social media,Whether social media users are mental health risks,Yes
15,Decide,Social media,How to moderate online discussions on controversial topics,Yes
15,Decide,Government,How to allocate public healthcare funding,No
15,Decide,Education,Which students to admit to schools and universities,Yes
15,Decide,Education,Which students should receive scholarships,Yes
15,Advise,Justice,Whether to grant parole to prisoners,Yes
15,Advise,Healthcare,Who gets an organ transplant,Yes
15,Advise,Disaster relief,Who to evacuate during natural disasters,Yes
15,Advise,Disaster relief,Who gets priority access to shelters after natural disasters,Yes
15,Advise,Government,Who to target with political messaging,Yes
15,Advise,Government,Which refugees should be given asylum,Yes
15,Advise,Government,Who gets audited for tax fraud,Yes
15,Advise,Finance,Which premiums to set in insurance policies,Yes
15,Advise,Finance,Who qualifies for mortgage approval,Yes
15,Advise,Finance,Which customers receive credit card limit increases,Yes
15,Advise,Education,Which grades to give students,Yes
15,Advise,Education,Which students to admit to schools and universities,Yes
15,Advise,Education,Which students require additional academic support,No
15,Advise,Education,Which career paths to recommend to students,Yes
15,Advise,Education,Which students should receive scholarships,Yes
16,Decide,Transport,Whether to override a human driver's commands for safety reasons,Yes
16,Decide,Justice,Whether to release convicted criminals from jail,No
16,Decide,Justice,Whether to grant parole to prisoners,No
16,Decide,Justice,Which personalized rehabilitation programs to offer to offenders,No
16,Decide,Healthcare,Which personalised treatments to recommend to patients,No
16,Decide,Healthcare,Who should receive mental health support,No
16,Decide,Healthcare,Who gets an organ transplant,No
16,Decide,Military,Which areas to target in military operations,Yes
16,Decide,Military,Whether to launch cyber counterattacks,Yes
16,Decide,Finance,Whether to offer loans to small businesses,Yes
16,Decide,Finance,Which premiums to set in insurance policies,Yes
16,Decide,Finance,Which customers receive credit card limit increases,Yes
16,Decide,Education,Which grades to give students,Yes
16,Decide,Education,Which students should receive scholarships,No
16,Decide,Education,Which students should receive disciplinary action,No
16,Advise,Transport,Which pedestrian to hit in a car accident,No
16,Advise,Transport,Which vehicles get priority at traffic lights and intersections,Yes
16,Advise,Justice,Whether to release convicted criminals from jail,No
16,Advise,Justice,Which neighborhoods should have more police patrols,No
16,Advise,Healthcare,Who should receive mental health support,No
16,Advise,Business,Whether to extend an employee’s contract,No
16,Advise,Military,Whether to launch cyber counterattacks,Yes
16,Advise,Military,Whether to use lethal or non-lethal force in military operations,Yes
16,Advise,Military,Whether to authorise drone strikes,Yes
16,Advise,Social media,How to moderate online discussions on controversial topics,Yes
16,Advise,Government,How to allocate public healthcare funding,Yes
16,Advise,Finance,Whether to offer loans to small businesses,Yes
16,Advise,Finance,Whether to invest in particular stocks,Yes
16,Advise,Finance,Which premiums to set in insurance policies,Yes
16,Advise,Education,Which career paths to recommend to students,Yes
17,Decide,Justice,Whether to release convicted criminals from jail,No
17,Decide,Healthcare,Who gets an organ transplant,Yes
17,Decide,Business,Who to hire for a job,Yes
17,Decide,Business,Whether to extend an employee’s contract,No
17,Decide,Military,Which areas to target in military operations,Yes
17,Decide,Military,Whether to authorise drone strikes,No
17,Decide,Disaster relief,Who should receive medical treatment after natural disasters,Yes
17,Decide,Disaster relief,Where to deploy rescue teams after natural disasters,Yes
17,Decide,Social media,Which online content to remove as misinformation,Yes
17,Decide,Social media,Which news articles to present to users on social media,Yes
17,Decide,Government,Who qualifies for government welfare programs,Yes
17,Decide,Government,How to allocate public healthcare funding,Yes
17,Decide,Finance,Which premiums to set in insurance policies,No
17,Decide,Education,Which students to admit to schools and universities,Yes
17,Decide,Education,Which students require additional academic support,Yes
17,Advise,Transport,How to allocate ridesharing vehicles to customers,Yes
17,Advise,Justice,Whether to grant parole to prisoners,Yes
17,Advise,Justice,The length of jail sentences for criminals,Yes
17,Advise,Justice,Which personalized rehabilitation programs to offer to offenders,Yes
17,Advise,Justice,Which neighborhoods should have more police patrols,Yes
17,Advise,Healthcare,Whether to perform a surgery,Yes
17,Advise,Disaster relief,Who should receive medical treatment after natural disasters,Yes
17,Advise,Social media,Which online videos to remove as deep fakes,Yes
17,Advise,Social media,Which social media accounts to ban for harmful behavior,Yes
17,Advise,Social media,How to moderate online discussions on controversial topics,Yes
17,Advise,Government,Who qualifies for government welfare programs,Yes
17,Advise,Government,Which environmental policies to implement,Yes
17,Advise,Finance,Whether to offer loans to small businesses,No
17,Advise,Finance,Whether to invest in particular stocks,No
17,Advise,Education,Which grades to give students,Yes
18,Decide,Transport,Which pedestrian to hit in a car accident,No
18,Decide,Justice,Whether to release convicted criminals from jail,No
18,Decide,Justice,Which neighborhoods should have more police patrols,Yes
18,Decide,Healthcare,Which personalised treatments to recommend to patients,No
18,Decide,Healthcare,Who gets an organ transplant,No
18,Decide,Business,Who to hire for a job,No
18,Decide,Military,Whether to use lethal or non-lethal force in military operations,No
18,Decide,Social media,Which news articles to present to users on social media,No
18,Decide,Social media,How to moderate online discussions on controversial topics,No
